datetime,height
2024-06-13 18:00:00,-0.1420391
2024-06-13 18:01:00,-0.14036085
2024-06-13 18:02:00,-0.13866831
2024-06-13 18:03:00,-0.1369616
2024-06-13 18:04:00,-0.13524084
2024-06-13 18:05:00,-0.13350615
2024-06-13 18:06:00,-0.13175766
2024-06-13 18:07:00,-0.1299955
2024-06-13 18:08:00,-0.12821978
2024-06-13 18:09:00,-0.12643063
2024-06-13 18:10:00,-0.1246282
2024-06-13 18:11:00,-0.122812584
2024-06-13 18:12:00,-0.12098394
2024-06-13 18:13:00,-0.11914238
2024-06-13 18:14:00,-0.11728804
2024-06-13 18:15:00,-0.11542105
2024-06-13 18:16:00,-0.11354154
2024-06-13 18:17:00,-0.11164966
2024-06-13 18:18:00,-0.10974553
2024-06-13 18:19:00,-0.107829295
2024-06-13 18:20:00,-0.10590108
2024-06-13 18:21:00,-0.10396103
2024-06-13 18:22:00,-0.10200929
2024-06-13 18:23:00,-0.10004599
2024-06-13 18:24:00,-0.09807126
2024-06-13 18:25:00,-0.096085265
2024-06-13 18:26:00,-0.09408814
2024-06-13 18:27:00,-0.092080005
2024-06-13 18:28:00,-0.09006104
2024-06-13 18:29:00,-0.08803136
2024-06-13 18:30:00,-0.085991114
2024-06-13 18:31:00,-0.08394047
2024-06-13 18:32:00,-0.08187955
2024-06-13 18:33:00,-0.07980851
2024-06-13 18:34:00,-0.07772751
2024-06-13 18:35:00,-0.07563668
2024-06-13 18:36:00,-0.07353618
2024-06-13 18:37:00,-0.07142615
2024-06-13 18:38:00,-0.06930676
2024-06-13 18:39:00,-0.067178145
2024-06-13 18:40:00,-0.06504047
2024-06-13 18:41:00,-0.062893875
2024-06-13 18:42:00,-0.06073852
2024-06-13 18:43:00,-0.05857457
2024-06-13 18:44:00,-0.056402158
2024-06-13 18:45:00,-0.05422146
2024-06-13 18:46:00,-0.05203262
2024-06-13 18:47:00,-0.049835797
2024-06-13 18:48:00,-0.047631156
2024-06-13 18:49:00,-0.045418847
2024-06-13 18:50:00,-0.043199033
2024-06-13 18:51:00,-0.04097187
2024-06-13 18:52:00,-0.038737524
2024-06-13 18:53:00,-0.036496148
2024-06-13 18:54:00,-0.034247905
2024-06-13 18:55:00,-0.03199296
2024-06-13 18:56:00,-0.029731471
2024-06-13 18:57:00,-0.027463604
2024-06-13 18:58:00,-0.025189517
2024-06-13 18:59:00,-0.022909377
2024-06-13 19:00:00,-0.020623349
2024-06-13 19:01:00,-0.018331591
2024-06-13 19:02:00,-0.016034273
2024-06-13 19:03:00,-0.013731561
2024-06-13 19:04:00,-0.011423617
2024-06-13 19:05:00,-0.009110607
2024-06-13 19:06:00,-0.006792699
2024-06-13 19:07:00,-0.0044700596
2024-06-13 19:08:00,-0.0021428554
2024-06-13 19:09:00,0.00018874636
2024-06-13 19:10:00,0.002524578
2024-06-13 19:11:00,0.004864471
2024-06-13 19:12:00,0.0072082584
2024-06-13 19:13:00,0.00955577
2024-06-13 19:14:00,0.011906837
2024-06-13 19:15:00,0.014261292
2024-06-13 19:16:00,0.016618963
2024-06-13 19:17:00,0.018979684
2024-06-13 19:18:00,0.021343281
2024-06-13 19:19:00,0.023709586
2024-06-13 19:20:00,0.026078427
2024-06-13 19:21:00,0.028449636
2024-06-13 19:22:00,0.030823037
2024-06-13 19:23:00,0.03319847
2024-06-13 19:24:00,0.03557575
2024-06-13 19:25:00,0.037954718
2024-06-13 19:26:00,0.040335193
2024-06-13 19:27:00,0.04271701
2024-06-13 19:28:00,0.045099992
2024-06-13 19:29:00,0.047483973
2024-06-13 19:30:00,0.049868774
2024-06-13 19:31:00,0.052254234
2024-06-13 19:32:00,0.05464017
2024-06-13 19:33:00,0.057026416
2024-06-13 19:34:00,0.0594128
2024-06-13 19:35:00,0.06179914
2024-06-13 19:36:00,0.064185284
2024-06-13 19:37:00,0.066571034
2024-06-13 19:38:00,0.06895624
2024-06-13 19:39:00,0.071340725
2024-06-13 19:40:00,0.07372431
2024-06-13 19:41:00,0.076106824
2024-06-13 19:42:00,0.0784881
2024-06-13 19:43:00,0.08086796
2024-06-13 19:44:00,0.08324624
2024-06-13 19:45:00,0.08562276
2024-06-13 19:46:00,0.08799735
2024-06-13 19:47:00,0.09036984
2024-06-13 19:48:00,0.09274007
2024-06-13 19:49:00,0.09510785
2024-06-13 19:50:00,0.09747301
2024-06-13 19:51:00,0.099835396
2024-06-13 19:52:00,0.10219482
2024-06-13 19:53:00,0.10455112
2024-06-13 19:54:00,0.10690413
2024-06-13 19:55:00,0.10925367
2024-06-13 19:56:00,0.11159956
2024-06-13 19:57:00,0.11394166
2024-06-13 19:58:00,0.11627977
2024-06-13 19:59:00,0.11861375
2024-06-13 20:00:00,0.120943405
2024-06-13 20:01:00,0.123268574
2024-06-13 20:02:00,0.1255891
2024-06-13 20:03:00,0.1279048
2024-06-13 20:04:00,0.13021551
2024-06-13 20:05:00,0.13252108
2024-06-13 20:06:00,0.13482131
2024-06-13 20:07:00,0.13711604
2024-06-13 20:08:00,0.13940515
2024-06-13 20:09:00,0.1416884
2024-06-13 20:10:00,0.14396569
2024-06-13 20:11:00,0.1462368
2024-06-13 20:12:00,0.14850162
2024-06-13 20:13:00,0.15075995
2024-06-13 20:14:00,0.15301162
2024-06-13 20:15:00,0.15525648
2024-06-13 20:16:00,0.15749437
2024-06-13 20:17:00,0.15972513
2024-06-13 20:18:00,0.16194859
2024-06-13 20:19:00,0.16416459
2024-06-13 20:20:00,0.16637295
2024-06-13 20:21:00,0.16857353
2024-06-13 20:22:00,0.17076617
2024-06-13 20:23:00,0.1729507
2024-06-13 20:24:00,0.17512698
2024-06-13 20:25:00,0.17729485
2024-06-13 20:26:00,0.17945412
